roster,driver,era,basis,starts,wins,poles,podiums,championships,avg_finish_est,dnf_total_est,dnf_crash_error_est,dnf_mechanical_est,style,notes,counts_conf,dnf_conf
NASCAR-classic,Alan Kulwicki,1985-1992,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,207,5,24,,1,,,,,"engineer owner-driver, precise qualifier",1992 champion as owner-driver; pole rate far above win rate,M,
NASCAR-classic,Davey Allison,1985-1993,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,191,19,14,,0,,,,,aggressive superspeedway star,,M,
NASCAR-classic,Tim Richmond,1980-1987,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,185,13,14,,0,,,,,"flamboyant, raw speed, aggressive",,M,
NASCAR-classic,Junior Johnson,1953-1966,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,313,50,46,,0,,,,,"flat-out, fearless draft pioneer",,M,
NASCAR-classic,Ned Jarrett,1953-1966,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,352,50,35,,2,,,,,"gentleman racer, consistent",,M,
NASCAR-classic,Fireball Roberts,1950-1964,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,206,33,32,,0,,,,,fast superspeedway pioneer,,M,
NASCAR-classic,Curtis Turner,1949-1968,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,184,17,16,,0,,,,,"wild, flat-out, spectacular",,M,
NASCAR-classic,Lee Petty,1949-1964,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,427,54,18,,3,7.6,,,,"tough, calculating, consistent",Best career average finish in Cup history (7.602),M,
NASCAR-classic,Herb Thomas,1949-1962,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,228,48,39,,2,,,,,"dominant, efficient winner",Best career win rate in Cup history (21.05%),H,
NASCAR-classic,Tim Flock,1949-1961,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,187,39,39,,2,,,,,"fast, dominant",,M,
NASCAR-classic,Buck Baker,1949-1976,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,635,46,45,,2,,,,,"tough, durable",,H,
NASCAR-classic,Bobby Isaac,1961-1976,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,308,37,48,,1,,,,,"pole machine, fast qualifier",Poles exceed wins,M,
NASCAR-classic,Buddy Baker,1959-1992,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,700,19,38,,0,,,,,"superspeedway speed, first 200 mph closed-course lap",,H,
NASCAR-classic,Benny Parsons,1964-1988,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,526,21,20,,1,,,,,"smooth, steady",1973 champion,M,
NASCAR-classic,Harry Gant,1973-1994,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,474,18,17,,0,,,,,"consistent veteran, Handsome Harry",Oldest Cup winner (52),M,
NASCAR-classic,Ernie Irvan,1987-1999,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,313,15,22,,0,,,,,"aggressive, Swervin early career",,M,
NASCAR-classic,Geoff Bodine,1979-2011,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,570,18,37,,0,,,,,"fast qualifier, aggressive",,M,
NASCAR-classic,Sterling Marlin,1976-2009,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,748,10,11,,0,,,,,superspeedway specialist,Back-to-back Daytona 500 wins,H,
NASCAR-classic,Jeff Burton,1993-2014,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,695,21,6,,0,,,,,"consistent, cerebral",,H,
NASCAR-classic,Bobby Labonte,1991-2016,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,729,21,26,,1,,,,,"smooth, steady",2000 champion,H,
NASCAR-classic,Ryan Newman,2000-2021,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,733,18,51,,0,,,,,"Rocket Man qualifier, tough defender",11 poles in 2003; poles far exceed wins,H,
NASCAR-classic,Greg Biffle,2002-2016,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,510,19,13,,0,,,,,"hard racer, consistent",,M,
NASCAR-classic,Kasey Kahne,2004-2018,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,529,18,27,,0,,,,,"fast, smooth",,M,
NASCAR-classic,Ken Schrader,1984-2013,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,763,4,23,,0,,,,,versatile grinder,23 poles but never won from the pole,H,
NASCAR-classic,Dave Marcis,1968-2002,NASCAR Cup career; starts from NASCAR.com 600+ list where available; poles from all-time poles list,883,5,14,,0,,,,,"independent grinder, durable",Record 33 Daytona 500 starts,H,
Oval-Indy,Rodger Ward,1951-1966,American Championship Car career (wins through race 17 of 2026),,26,,,2,,,,,"calculating, precise",2x Indy 500,H,
Oval-Indy,Gordon Johncock,1965-1992,American Championship Car career (wins through race 17 of 2026),,25,,,1,,,,,"gritty, determined",2x Indy 500,H,
Oval-Indy,Jimmy Bryan,1952-1960,American Championship Car career (wins through race 17 of 2026),,19,,,3,,,,,tough dirt-track champion,1958 Indy 500,H,
Oval-Indy,Dan Wheldon,2003-2011,American Championship Car career (wins through race 17 of 2026),,16,,,1,,,,,smooth oval ace,"2x Indy 500 (2005, 2011)",H,
Oval-Indy,Tom Sneva,1970s-1990s,American Championship Car career (wins through race 17 of 2026),,13,,,2,,,,,fearless qualifier,First official 200 mph lap at Indianapolis (1977); 1983 Indy 500,H,
Oval-Indy,Buddy Lazier,1990s-2010s,American Championship Car career (wins through race 17 of 2026),,8,,,1,,,,,steady oval specialist,1996 Indy 500,H,
Oval-Indy,Arie Luyendyk,1984-2002,American Championship Car career (wins through race 17 of 2026),,7,,,0,,,,,fearless high-speed oval specialist,"2x Indy 500 (1990, 1997)",H,
Oval-Indy,Wilbur Shaw,1927-1941,American Championship Car career (wins through race 17 of 2026),,6,,,2,,,,,pre-war great,3x Indy 500,H,
Oval-Indy,Mauri Rose,1930s-1951,American Championship Car career (wins through race 17 of 2026),,6,,,1,,,,,calculating long-distance racer,3x Indy 500,H,
Oval-Indy,Bill Vukovich,1950-1955,American Championship Car career (wins through race 17 of 2026),,4,,,0,,,,,"relentless, dominant Mad Russian",Back-to-back Indy 500 wins 1953-54,H,
Oval-Dirt,Steve Kinser,1978-2014,World of Outlaws Sprint Car career,,690,,,20,,,,,relentless King of the Outlaws,Record 12 Knoxville Nationals; 5 NASCAR Cup starts,H,
Oval-Dirt,Sammy Swindell,1978-,World of Outlaws Sprint Car career,,394,,,3,,,,,"aggressive, Slammin Sammy",,H,
Oval-Dirt,Donny Schatz,1997-,World of Outlaws Sprint Car career,,315,,,10,,,,,"consistent, strategic, maximizes the car",Wins as of Wikipedia infobox; still active,H,
Oval-Dirt,Mark Kinser,1980s-2000s,World of Outlaws Sprint Car career,,153,,214,2,,,,,consistent podium machine,3x Knoxville Nationals; titles 1996 and 1999,H,
